spN,sampleType,samples,algo,keys,collisions,stackingAvg,occupancyRate,occupancyRate_stddev
65536,rand-8,2400,crc32,2353,47,1,0.0399,0.1399
65536,rand-8,2400,md5,2361,38,1,0.0326,0.1308
65536,rand-8,2400,sha1,2366,34,1,0.0287,0.119
65536,rand-8,2400,fake,2350,49,1,0.0421,0.1473
65536,rand-8,2400,ugly1,83,77,30,29,21
65536,rand-8,20000,crc32,17457,2337,1.1,0.2795,0.3872
65536,rand-8,20000,md5,17256,2488,1.1,0.3032,0.4088
65536,rand-8,20000,sha1,17300,2442,1.1,0.2972,0.4052
65536,rand-8,20000,fake,17254,2491,1.1,0.3035,0.4064
65536,rand-8,20000,ugly1,94,92,216,213,186
1048576,rand-8,100,crc32,100,0,0,0,0
1048576,rand-8,100,md5,100,0,0,0,0
1048576,rand-8,100,sha1,100,0,0,0,0
1048576,rand-8,100,fake,100,0,0,0,0
1048576,rand-8,100,ugly1,48,24,2.2,1.6,1.5
1048576,rand-8,1000,crc32,999,1,1,0.002,0.0316
1048576,rand-8,1000,md5,999,1,1,0.002,0.0316
1048576,rand-8,1000,sha1,1000,0,0,0,0
1048576,rand-8,1000,fake,1000,0,0,0,0
1048576,rand-8,1000,ugly1,90,79,12,11,8.5
1048576,rand-8,3000,crc32,2994,6,1,0.004,0.0447
1048576,rand-8,3000,md5,2994,6,1,0.004,0.0447
1048576,rand-8,3000,sha1,2997,3,1,0.002,0.0316
1048576,rand-8,3000,fake,2998,2,1,0.0013,0.0258
1048576,rand-8,3000,ugly1,98,90,32,31,25
1048576,rand-8,25000,crc32,24702,298,1,0.0241,0.1092
1048576,rand-8,25000,md5,24686,312,1,0.0254,0.1128
1048576,rand-8,25000,sha1,24710,287,1,0.0234,0.1088
1048576,rand-8,25000,fake,24710,287,1,0.0234,0.1088
1048576,rand-8,25000,ugly1,113,109,228,221,209
1048576,rand-8,450000,crc32,369595,70826,1.1,0.4092,0.4764
1048576,rand-8,450000,md5,365752,72827,1.2,0.4295,0.497
1048576,rand-8,450000,sha1,366159,72782,1.2,0.4277,0.4935
1048576,rand-8,450000,fake,365745,73058,1.2,0.4301,0.4955
1048576,rand-8,450000,ugly1,120,119,3781,3750,3742
16777216,rand-8,120,crc32,120,0,0,0,0
16777216,rand-8,120,md5,120,0,0,0,0
16777216,rand-8,120,sha1,120,0,0,0,0
16777216,rand-8,120,fake,120,0,0,0,0
16777216,rand-8,120,ugly1,53,34,2,1.9,1.2
16777216,rand-8,1200,crc32,1200,0,0,0,0
16777216,rand-8,1200,md5,1200,0,0,0,0
16777216,rand-8,1200,sha1,1200,0,0,0,0
16777216,rand-8,1200,fake,1200,0,0,0,0
16777216,rand-8,1200,ugly1,98,87,13,12,9.3
16777216,rand-8,3600,crc32,3600,0,0,0,0
16777216,rand-8,3600,md5,3600,0,0,0,0
16777216,rand-8,3600,sha1,3599,1,1,0.0006,0.0167
16777216,rand-8,3600,fake,3599,1,1,0.0006,0.0167
16777216,rand-8,3600,ugly1,111,98,36,32,27
16777216,rand-8,30000,crc32,29964,36,1,0.0024,0.0346
16777216,rand-8,30000,md5,29973,27,1,0.0018,0.03
16777216,rand-8,30000,sha1,29977,23,1,0.0015,0.0277
16777216,rand-8,30000,fake,29965,35,1,0.0023,0.0342
16777216,rand-8,30000,ugly1,123,118,253,244,228
16777216,rand-8,540000,crc32,531659,8258,1,0.0312,0.1255
16777216,rand-8,540000,md5,531514,8398,1,0.0318,0.1267
16777216,rand-8,540000,sha1,531340,8571,1,0.0324,0.1279
16777216,rand-8,540000,fake,531453,8447,1,0.032,0.1273
16777216,rand-8,540000,ugly1,139,137,3941,3885,4104
256,rand-80,40,crc32,35,4,1.3,0.2571,0.43
256,rand-80,40,md5,35,5,1,0.2857,0.355
256,rand-80,40,sha1,38,2,1,0.1053,0.2263
256,rand-80,40,fake,39,1,1,0.0513,0.1601
256,rand-80,40,ugly2,27,8,1.6,0.7778,0.849
4096,rand-80,60,crc32,59,1,1,0.0339,0.1302
4096,rand-80,60,md5,60,0,0,0,0
4096,rand-80,60,sha1,59,1,1,0.0339,0.1302
4096,rand-80,60,fake,60,0,0,0,0
4096,rand-80,60,ugly2,38,14,1.6,0.9474,0.9482
4096,rand-80,600,crc32,563,37,1,0.1314,0.248
4096,rand-80,600,md5,565,33,1.1,0.1204,0.2555
4096,rand-80,600,sha1,567,32,1,0.1146,0.2418
4096,rand-80,600,fake,555,45,1,0.1622,0.2732
4096,rand-80,600,ugly2,64,59,9.1,9.3,6.3
4096,rand-80,1800,crc32,1505,271,1.1,0.3761,0.437
4096,rand-80,1800,md5,1476,279,1.2,0.4085,0.4863
4096,rand-80,1800,sha1,1451,307,1.1,0.4521,0.499
4096,rand-80,1800,fake,1474,277,1.2,0.4091,0.4957
4096,rand-80,1800,ugly2,69,68,25,26,18
65536,rand-80,80,crc32,80,0,0,0,0
65536,rand-80,80,md5,80,0,0,0,0
65536,rand-80,80,sha1,80,0,0,0,0
65536,rand-80,80,fake,80,0,0,0,0
65536,rand-80,80,ugly2,50,22,1.4,1,0.8081
65536,rand-80,800,crc32,796,4,1,0.0101,0.0708
65536,rand-80,800,md5,798,2,1,0.005,0.05
65536,rand-80,800,sha1,796,4,1,0.0101,0.0708
65536,rand-80,800,fake,797,3,1,0.0075,0.0613
65536,rand-80,800,ugly2,74,68,11,11,7.6
